antecedents,consequents,as,cs,confidence,support,kluc,imb ratio,antecedent_len
"frozenset({'PM', 'SIDEWALK', 'GAME/DICE'})",frozenset({'GAMBLING'}),0.001027529253684691,0.002079964533818337,1.0,0.001027529253684691,0.7470064361622512,0.3389096416946519,3
"frozenset({'PM', 'Sonntag', 'GAME/DICE'})",frozenset({'GAMBLING'}),0.0002112342368201978,0.002079964533818337,1.0,0.0002112342368201978,0.5507783265978147,0.8157689053210406,3
"frozenset({'PM', 'Donnerstag', 'GAME/DICE'})",frozenset({'GAMBLING'}),0.00021683809277121263,0.002079964533818337,1.0,0.00021683809277121263,0.5521254303248017,0.8113419704910284,3
"frozenset({'PM', '19', 'GAME/DICE'})",frozenset({'GAMBLING'}),0.00023473929928139887,0.002079964533818337,1.0,0.00023473929928139887,0.5564286783415656,0.797343707970668,3
"frozenset({'PM', 'Freitag', 'GAME/DICE'})",frozenset({'GAMBLING'}),0.0002513952044691374,0.002079964533818337,1.0,0.0002513952044691374,0.5604325699745547,0.7845119374751407,3
"frozenset({'PM', 'GAME/DICE', 'Samstag'})",frozenset({'GAMBLING'}),0.00021699375543651858,0.002079964533818337,1.0,0.00021699375543651858,0.5521628498727735,0.8112193078409397,3
"frozenset({'PM', 'Juni', 'GAME/DICE'})",frozenset({'GAMBLING'}),0.00021699375543651858,0.002079964533818337,1.0,0.00021699375543651858,0.5521628498727735,0.8112193078409397,3
"frozenset({'PM', 'Dienstag', 'GAME/DICE'})",frozenset({'GAMBLING'}),0.00022617785268957066,0.002079964533818337,1.0,0.00022617785268957066,0.5543706032031133,0.8040114663639214,3
"frozenset({'PM', 'Mittwoch', 'GAME/DICE'})",frozenset({'GAMBLING'}),0.00022446556337120502,0.002079964533818337,1.0,0.00022446556337120502,0.5539589881754229,0.8053509521916049,3
"frozenset({'PM', 'GAME/DICE', 'Montag'})",frozenset({'GAMBLING'}),0.00022680050335079454,0.002079964533818337,1.0,0.00022680050335079454,0.5545202813950008,0.8035248727185869,3
"frozenset({'PM', 'GAME/DICE', 'Juli'})",frozenset({'GAMBLING'}),0.00022477688870181696,0.002079964533818337,1.0,0.00022477688870181696,0.5540338272713665,0.8051072615514064,3
"frozenset({'PM', 'GAME/DICE', 'August'})",frozenset({'GAMBLING'}),0.00025544243376709254,0.002079964533818337,1.0,0.00025544243376709254,0.5614054782218231,0.7814215266939877,3
"frozenset({'AM', 'BY FIRE', 'VEHICLE NON-COMMERCIAL'})",frozenset({'ARSON'}),0.0002834617135221667,0.0016020801513290167,1.0,0.0002834617135221667,0.5884667703070345,0.6994997698508616,3
"frozenset({'AM', 'ARSON', 'VEHICLE NON-COMMERCIAL'})",frozenset({'BY FIRE'}),0.00031101400528132293,0.0010522796174683398,0.9114114114114114,0.0002834617135221667,0.5903950548181317,0.5438620056196222,3
"frozenset({'NARCOTICS', 'POSS: CANNABIS MORE THAN 30GMS', 'POLICE FACILITY/VEH PARKING LOT'})",frozenset({' FILLMORE ST'}),0.00013853977212231102,0.0009674434648765875,0.9685393258426965,0.00013418121749374392,0.5536180136856282,0.7495630390258438,3
"frozenset({'AM', 'POSS: CANNABIS MORE THAN 30GMS', 'POLICE FACILITY/VEH PARKING LOT'})",frozenset({' FILLMORE ST'}),0.00012779904821619926,0.0009674434648765875,0.9829476248477464,0.0001256197709019157,0.5563973844270912,0.7667153183353501,3
"frozenset({'AM', 'POLICE FACILITY/VEH PARKING LOT', 'POSS: CANNABIS MORE THAN 30GMS', 'NARCOTICS'})",frozenset({' FILLMORE ST'}),0.00012779904821619926,0.0009674434648765875,0.9829476248477464,0.0001256197709019157,0.5563973844270912,0.7667153183353501,4
"frozenset({'POLICE FACILITY/VEH PARKING LOT', 'POSS: CANNABIS MORE THAN 30GMS', 'NARCOTICS'})","frozenset({'AM', ' FILLMORE ST'})",0.00013853977212231102,0.0005269181220606997,0.9067415730337077,0.0001256197709019157,0.572573149884653,0.583689760344801,3
"frozenset({'AM', 'POSS: CANNABIS MORE THAN 30GMS', 'POLICE FACILITY/VEH PARKING LOT'})","frozenset({' FILLMORE ST', 'NARCOTICS'})",0.00012779904821619926,0.0003922699165710379,0.9829476248477464,0.0001256197709019157,0.6515928600429208,0.5085794043187106,3
"frozenset({'AM', ' FILLMORE ST', 'POSS: CANNABIS MORE THAN 30GMS'})","frozenset({'POLICE FACILITY/VEH PARKING LOT', 'NARCOTICS'})",0.0001295113375345649,0.0007820492304971803,0.9699519230769229,0.0001256197709019157,0.5652904519843214,0.7159265417203671,3
"frozenset({'POLICE FACILITY/VEH PARKING LOT', '6', 'NARCOTICS'})","frozenset({'AM', ' FILLMORE ST'})",0.00013200194017946038,0.0005269181220606997,0.9033018867924528,0.00011923760162437105,0.5647971767787966,0.5994018021851707,3
"frozenset({'STREET', 'PM', 'RECKLESS CONDUCT'})",frozenset({'PUBLIC PEACE VIOLATION'}),0.0015393480972107118,0.0071891245344908,1.0,0.0015393480972107118,0.6070608868872337,0.6481029327029877,3
