antecedents,consequents,as,cs,confidence,support,kluc,imb ratio,antecedent_len
"frozenset({'MOTOR VEHICLE THEFT', 'STREET', '21:00', 'AUTOMOBILE'})",frozenset({'PM'}),0.0009923194474765317,0.6291384682557009,1.0,0.0009923194474765317,0.5007886335819106,0.9978390491630911,4
"frozenset({'AUTOMOBILE', 'STREET', 'PM', '21:00'})",frozenset({'MOTOR VEHICLE THEFT'}),0.0009923194474765317,0.03495346021791335,1.0,0.0009923194474765317,0.5141948671360436,0.94570051638078,4
"frozenset({'AUTOMOBILE', 'STREET', '21:00'})","frozenset({'MOTOR VEHICLE THEFT', 'PM'})",0.0009923194474765317,0.022037430289558815,1.0,0.0009923194474765317,0.5225144092219021,0.9146913757078863,3
"frozenset({'21:00', 'RESIDENCE'})",frozenset({'PM'}),0.0022069184511878063,0.6291384682557009,1.0,0.0022069184511878063,0.5017539210861692,0.9951974818163372,2
"frozenset({'21:00', 'Fr', 'RESIDENCE'})",frozenset({'PM'}),0.000345327167721833,0.6291384682557009,1.0,0.000345327167721833,0.5002744444865049,0.9992477023607678,3
"frozenset({'21:00', 'THEFT', 'RESIDENCE'})",frozenset({'PM'}),0.0003492964455117391,0.6291384682557009,1.0,0.0003492964455117391,0.5002775990208326,0.9992390570415514,3
"frozenset({'21:00', 'So'})",frozenset({'PM'}),0.0021473792843392145,0.6291384682557009,1.0,0.0021473792843392145,0.5017066030712546,0.9953268823571445,2
"frozenset({'21:00', 'RESIDENCE', 'So'})",frozenset({'PM'}),0.00032151150098239627,0.6291384682557009,1.0,0.00032151150098239627,0.5002555172805391,0.999299575125492,3
"frozenset({'21:00', 'CRIMINAL DAMAGE', 'So'})",frozenset({'PM'}),0.00035326572330164526,0.6291384682557009,1.0,0.00035326572330164526,0.5002807535551602,0.9992304117627829,3
"frozenset({'21:00', 'STREET', 'So'})",frozenset({'PM'}),0.0008216405025105682,0.6291384682557009,1.0,0.0008216405025105682,0.500652988605822,0.998210552774203,3
"frozenset({'21:00', 'THEFT', 'So'})",frozenset({'PM'}),0.0006549308353345108,0.6291384682557009,1.0,0.0006549308353345108,0.500520498164061,0.9985734889057989,3
"frozenset({'21:00', 'THEFT', 'STREET', 'So'})",frozenset({'PM'}),0.0003334193343521146,0.6291384682557009,1.0,0.0003334193343521146,0.500264980883522,0.9992736385611082,4
"frozenset({'21:00', '$500 AND UNDER', 'So'})",frozenset({'THEFT'}),0.00037708139004108204,0.24125667334828427,1.0,0.00037708139004108204,0.5007814942169428,0.9972543605953796,3
"frozenset({'21:00', '$500 AND UNDER', 'So'})",frozenset({'PM'}),0.00037708139004108204,0.6291384682557009,1.0,0.00037708139004108204,0.5002996807611261,0.9991785409395655,3
"frozenset({'21:00', 'THEFT', '$500 AND UNDER', 'So'})",frozenset({'PM'}),0.00037708139004108204,0.6291384682557009,1.0,0.00037708139004108204,0.5002996807611261,0.9991785409395655,4
"frozenset({'21:00', '$500 AND UNDER', 'PM', 'So'})",frozenset({'THEFT'}),0.00037708139004108204,0.24125667334828427,1.0,0.00037708139004108204,0.5007814942169428,0.9972543605953796,4
"frozenset({'21:00', '$500 AND UNDER', 'So'})","frozenset({'THEFT', 'PM'})",0.00037708139004108204,0.16199416516164883,1.0,0.00037708139004108204,0.5011638733705773,0.9957299174098868,3
"frozenset({'21:00', 'SIMPLE'})",frozenset({'PM'}),0.0011391827257030583,0.6291384682557009,1.0,0.0011391827257030583,0.5009053513520334,0.9975194430611115,2
"frozenset({'21:00', 'SIMPLE', 'BATTERY'})",frozenset({'PM'}),0.0005834838351162006,0.6291384682557009,1.0,0.0005834838351162006,0.5004637165461635,0.998729054791123,3
"frozenset({'21:00', 'ASSAULT'})",frozenset({'PM'}),0.0007144700021831028,0.6291384682557009,1.0,0.0007144700021831028,0.5005678161789756,0.9984438606735853,2
"frozenset({'21:00', 'SIMPLE', 'ASSAULT'})",frozenset({'PM'}),0.0005477603350070454,0.6291384682557009,1.0,0.0005477603350070454,0.5004353257372147,0.998806842646086,3
"frozenset({'21:00', 'Di'})",frozenset({'PM'}),0.001849683450096255,0.6291384682557009,1.0,0.001849683450096255,0.5014700129966815,0.9959740211593787,2
"frozenset({'21:00', 'STREET', 'Di'})",frozenset({'PM'}),0.0006072995018556374,0.6291384682557009,1.0,0.0006072995018556374,0.5004826437521294,0.9986771980405693,3
"frozenset({'21:00', 'THEFT', 'Di'})",frozenset({'PM'}),0.0006430230019647925,0.6291384682557009,1.0,0.0006430230019647925,0.500511034561078,0.9985994156437186,3
"frozenset({'21:00', '$500 AND UNDER', 'Di'})",frozenset({'THEFT'}),0.00037708139004108204,0.24125667334828427,1.0,0.00037708139004108204,0.5007814942169428,0.9972543605953796,3
"frozenset({'21:00', '$500 AND UNDER', 'Di'})",frozenset({'PM'}),0.00037708139004108204,0.6291384682557009,1.0,0.00037708139004108204,0.5002996807611261,0.9991785409395655,3
"frozenset({'21:00', 'THEFT', '$500 AND UNDER', 'Di'})",frozenset({'PM'}),0.00037708139004108204,0.6291384682557009,1.0,0.00037708139004108204,0.5002996807611261,0.9991785409395655,4
"frozenset({'21:00', '$500 AND UNDER', 'Di', 'PM'})",frozenset({'THEFT'}),0.00037708139004108204,0.24125667334828427,1.0,0.00037708139004108204,0.5007814942169428,0.9972543605953796,4
"frozenset({'21:00', '$500 AND UNDER', 'Di'})","frozenset({'THEFT', 'PM'})",0.00037708139004108204,0.16199416516164883,1.0,0.00037708139004108204,0.5011638733705773,0.9957299174098868,3
"frozenset({'21:00', 'CRIMINAL DAMAGE', 'Di'})",frozenset({'PM'}),0.00032151150098239627,0.6291384682557009,1.0,0.00032151150098239627,0.5002555172805391,0.999299575125492,3
"frozenset({'21:00', 'RESIDENCE', 'Di'})",frozenset({'PM'}),0.00030166511203286563,0.6291384682557009,1.0,0.00030166511203286563,0.5002397446089009,0.999342803541802,3
"frozenset({'21:00', 'THEFT'})",frozenset({'PM'}),0.004767102625677258,0.6291384682557009,1.0,0.004767102625677258,0.5037885957274987,0.9896418271016364,2
"frozenset({'21:00', 'THEFT', 'STREET'})",frozenset({'PM'}),0.0020283009506420306,0.6291384682557009,1.0,0.0020283009506420306,0.5016119670414253,0.9955857106555361,3
"frozenset({'21:00', '$500 AND UNDER'})",frozenset({'THEFT'}),0.00250064500764086,0.24125667334828427,1.0,0.00250064500764086,0.505182540596568,0.9819127288114013,2
"frozenset({'21:00', '$500 AND UNDER'})",frozenset({'PM'}),0.00250064500764086,0.6291384682557009,1.0,0.00250064500764086,0.5019873566264148,0.9945592385556562,2
"frozenset({'21:00', 'THEFT', '$500 AND UNDER'})",frozenset({'PM'}),0.00250064500764086,0.6291384682557009,1.0,0.00250064500764086,0.5019873566264148,0.9945592385556562,3
"frozenset({'21:00', '$500 AND UNDER', 'PM'})",frozenset({'THEFT'}),0.00250064500764086,0.24125667334828427,1.0,0.00250064500764086,0.505182540596568,0.9819127288114013,3
"frozenset({'21:00', '$500 AND UNDER'})","frozenset({'THEFT', 'PM'})",0.00250064500764086,0.16199416516164883,1.0,0.00250064500764086,0.507718318141723,0.9719897132655781,2
"frozenset({'21:00', 'STREET', '$500 AND UNDER'})",frozenset({'THEFT'}),0.001317800226248834,0.24125667334828427,1.0,0.001317800226248834,0.5027311166318422,0.9904329835578924,3
"frozenset({'21:00', 'STREET', '$500 AND UNDER'})",frozenset({'PM'}),0.001317800226248834,0.6291384682557009,1.0,0.001317800226248834,0.5010473053967773,0.9971308074582256,3
"frozenset({'21:00', 'THEFT', '$500 AND UNDER', 'STREET'})",frozenset({'PM'}),0.001317800226248834,0.6291384682557009,1.0,0.001317800226248834,0.5010473053967773,0.9971308074582256,4
"frozenset({'21:00', 'STREET', '$500 AND UNDER', 'PM'})",frozenset({'THEFT'}),0.001317800226248834,0.24125667334828427,1.0,0.001317800226248834,0.5027311166318422,0.9904329835578924,4
"frozenset({'21:00', 'STREET', '$500 AND UNDER'})","frozenset({'THEFT', 'PM'})",0.001317800226248834,0.16199416516164883,1.0,0.001317800226248834,0.5040674311477017,0.9851493136858156,3
"frozenset({'21:00', 'Do'})",frozenset({'PM'}),0.0020243316728521246,0.6291384682557009,1.0,0.0020243316728521246,0.5016088125070977,0.9955943388905275,2
"frozenset({'21:00', 'THEFT', 'Do'})",frozenset({'PM'}),0.0007144700021831028,0.6291384682557009,1.0,0.0007144700021831028,0.5005678161789756,0.9984438606735853,3
"frozenset({'21:00', '$500 AND UNDER', 'Do'})",frozenset({'THEFT'}),0.0003413578899319269,0.24125667334828427,1.0,0.0003413578899319269,0.5007074579227061,0.9975141948549967,3
"frozenset({'21:00', '$500 AND UNDER', 'Do'})",frozenset({'PM'}),0.0003413578899319269,0.6291384682557009,1.0,0.0003413578899319269,0.5002712899521773,0.9992563477204325,3
"frozenset({'21:00', 'THEFT', '$500 AND UNDER', 'Do'})",frozenset({'PM'}),0.0003413578899319269,0.6291384682557009,1.0,0.0003413578899319269,0.5002712899521773,0.9992563477204325,4
"frozenset({'21:00', '$500 AND UNDER', 'PM', 'Do'})",frozenset({'THEFT'}),0.0003413578899319269,0.24125667334828427,1.0,0.0003413578899319269,0.5007074579227061,0.9975141948549967,4
"frozenset({'21:00', '$500 AND UNDER', 'Do'})","frozenset({'THEFT', 'PM'})",0.0003413578899319269,0.16199416516164883,1.0,0.0003413578899319269,0.5010536116828384,0.9961337384563586,3
"frozenset({'21:00', 'RESIDENCE', 'Do'})",frozenset({'PM'}),0.000313572945402584,0.6291384682557009,1.0,0.000313572945402584,0.5002492082118838,0.9993168663706637,3
"frozenset({'21:00', 'STREET', 'Do'})",frozenset({'PM'}),0.0006866850576537599,0.6291384682557009,1.0,0.0006866850576537599,0.5005457344386821,0.9985043527167453,3
"frozenset({'21:00', 'OTHER OFFENSE'})",frozenset({'PM'}),0.0007263778355528212,0.6291384682557009,1.0,0.0007263778355528212,0.5005772797819585,0.9984179361185654,2
"frozenset({'21:00', 'VEHICLE NON-COMMERCIAL'})",frozenset({'PM'}),0.0004882211681584536,0.6291384682557009,1.0,0.0004882211681584536,0.5003880077223001,0.9989364963492219,2
"frozenset({'21:00', 'THEFT', 'VEHICLE NON-COMMERCIAL'})",frozenset({'PM'}),0.00033738861214202076,0.6291384682557009,1.0,0.00033738861214202076,0.5002681354178496,0.999264993120546,3
"frozenset({'21:00', 'TO PROPERTY'})",frozenset({'CRIMINAL DAMAGE'}),0.0007343163911326334,0.1048961041538492,1.0,0.0007343163911326334,0.5035002081204828,0.9868160955707654,2
"frozenset({'21:00', 'TO PROPERTY'})",frozenset({'PM'}),0.0007343163911326334,0.6291384682557009,1.0,0.0007343163911326334,0.5005835888506138,0.9984006532839919,2
"frozenset({'21:00', 'CRIMINAL DAMAGE', 'TO PROPERTY'})",frozenset({'PM'}),0.0007343163911326334,0.6291384682557009,1.0,0.0007343163911326334,0.5005835888506138,0.9984006532839919,3
"frozenset({'21:00', 'TO PROPERTY', 'PM'})",frozenset({'CRIMINAL DAMAGE'}),0.0007343163911326334,0.1048961041538492,1.0,0.0007343163911326334,0.5035002081204828,0.9868160955707654,3
"frozenset({'21:00', 'TO PROPERTY'})","frozenset({'CRIMINAL DAMAGE', 'PM'})",0.0007343163911326334,0.062107289578661164,1.0,0.0007343163911326334,0.5059116763596856,0.9773389007057026,2
"frozenset({'21:00', 'DECEPTIVE PRACTICE'})",frozenset({'PM'}),0.0005437910572171393,0.6291384682557009,1.0,0.0005437910572171393,0.5004321712028871,0.9988154859432473,2
