antecedents,consequents,as,cs,confidence,support,kluc,imb ratio
"frozenset({'FROM BUILDING', 'APARTMENT'})",frozenset({'THEFT'}),0.005481572627860361,0.24125667334828427,1.0,0.005481572627860361,0.5113604580378737,0.9607169543912931
"frozenset({'FROM BUILDING', 'APARTMENT'})",frozenset({'PM'}),0.005481572627860361,0.6291384682557009,0.6125995655322231,0.003358009010260583,0.30896851880729714,0.9880943950022213
"frozenset({'FROM BUILDING', 'AM', 'APARTMENT'})",frozenset({'THEFT'}),0.002123563617599778,0.24125667334828427,1.0,0.002123563617599778,0.5044010463796252,0.9846220799860501
"frozenset({'FROM BUILDING', 'Fr', 'APARTMENT'})",frozenset({'THEFT'}),0.0008732411137793479,0.24125667334828427,1.0,0.0008732411137793479,0.5018097760813413,0.9936515715476165
"frozenset({'FROM BUILDING', 'Sa', 'APARTMENT'})",frozenset({'THEFT'}),0.0007898862801913192,0.24125667334828427,1.0,0.0007898862801913192,0.5016370247281223,0.9942560562612234
"frozenset({'FROM BUILDING', 'APARTMENT', 'THEFT'})",frozenset({'PM'}),0.005481572627860361,0.6291384682557009,0.6125995655322231,0.003358009010260583,0.30896851880729714,0.9880943950022213
"frozenset({'FROM BUILDING', 'PM', 'APARTMENT'})",frozenset({'THEFT'}),0.003358009010260583,0.24125667334828427,1.0,0.003358009010260583,0.5069594116582484,0.9757761855831122
"frozenset({'FROM BUILDING', 'APARTMENT'})","frozenset({'PM', 'THEFT'})",0.005481572627860361,0.16199416516164883,0.6125995655322231,0.003358009010260583,0.3166643814135682,0.9395203898772716
"frozenset({'FROM BUILDING', 'Do', 'APARTMENT'})",frozenset({'THEFT'}),0.0007025621688133844,0.24125667334828427,1.0,0.0007025621688133844,0.5014560471199881,0.9948896651376334
"frozenset({'FROM BUILDING', 'Di', 'APARTMENT'})",frozenset({'THEFT'}),0.0009208724472582213,0.24125667334828427,1.0,0.0009208724472582213,0.5019084911403234,0.9933062935949061
"frozenset({'FROM BUILDING', 'APARTMENT', 'Di'})",frozenset({'PM'}),0.0009208724472582213,0.6291384682557009,0.6293103448275862,0.0005795145573262944,0.3151157344256289,0.997994553210856
"frozenset({'FROM BUILDING', 'PM', 'Di', 'APARTMENT'})",frozenset({'THEFT'}),0.0005795145573262944,0.24125667334828427,1.0,0.0005795145573262944,0.5012010332176173,0.9957830672655311
"frozenset({'FROM BUILDING', 'THEFT', 'Di', 'APARTMENT'})",frozenset({'PM'}),0.0009208724472582213,0.6291384682557009,0.6293103448275862,0.0005795145573262944,0.3151157344256289,0.997994553210856
"frozenset({'FROM BUILDING', 'Di', 'APARTMENT'})","frozenset({'PM', 'THEFT'})",0.0009208724472582213,0.16199416516164883,0.6293103448275862,0.0005795145573262944,0.31644386201489083,0.9896012043674866
"frozenset({'FROM BUILDING', 'So'})",frozenset({'THEFT'}),0.0046797785142993235,0.24125667334828427,1.0,0.0046797785142993235,0.5096987545450058,0.9663795766667364
"frozenset({'FROM BUILDING', 'So'})",frozenset({'PM'}),0.0046797785142993235,0.6291384682557009,0.6327396098388465,0.0029610812312699706,0.31872308752784456,0.9898310468359073
"frozenset({'FROM BUILDING', 'AM', 'So'})",frozenset({'THEFT'}),0.0017186972830293527,0.24125667334828427,1.0,0.0017186972830293527,0.5035619683782762,0.9875381828757568
"frozenset({'FROM BUILDING', 'So', 'APARTMENT'})",frozenset({'THEFT'}),0.0006469922797546987,0.24125667334828427,1.0,0.0006469922797546987,0.5013408795511756,0.995293051617457
"frozenset({'FROM BUILDING', 'PM', 'So'})",frozenset({'THEFT'}),0.0029610812312699706,0.24125667334828427,1.0,0.0029610812312699706,0.5061367861667297,0.9786131018629556
"frozenset({'FROM BUILDING', 'So', 'THEFT'})",frozenset({'PM'}),0.0046797785142993235,0.6291384682557009,0.6327396098388465,0.0029610812312699706,0.31872308752784456,0.9898310468359073
"frozenset({'FROM BUILDING', 'So'})","frozenset({'PM', 'THEFT'})",0.0046797785142993235,0.16199416516164883,0.6327396098388465,0.0029610812312699706,0.32550927370311433,0.9481576933264989
"frozenset({'FROM BUILDING', 'Sa'})",frozenset({'THEFT'}),0.005890408240220692,0.24125667334828427,1.0,0.005890408240220692,0.512207762294138,0.957840371094337
"frozenset({'FROM BUILDING', 'Sa'})",frozenset({'PM'}),0.005890408240220692,0.6291384682557009,0.6698113207547169,0.00394546212316669,0.3380412674990352,0.9872095042655977
"frozenset({'FROM BUILDING', 'Sa', 'AM'})",frozenset({'THEFT'}),0.001944946117054002,0.24125667334828427,1.0,0.001944946117054002,0.5040308649084417,0.9859076861191263
"frozenset({'FROM BUILDING', 'Sa', 'PM'})",frozenset({'THEFT'}),0.00394546212316669,0.24125667334828427,1.0,0.00394546212316669,0.5081768973856962,0.9715903884903999
"frozenset({'FROM BUILDING', 'Sa', 'THEFT'})",frozenset({'PM'}),0.005890408240220692,0.6291384682557009,0.6698113207547169,0.00394546212316669,0.3380412674990352,0.9872095042655977
"frozenset({'FROM BUILDING', 'Sa'})","frozenset({'PM', 'THEFT'})",0.005890408240220692,0.16199416516164883,0.6698113207547169,0.00394546212316669,0.3470834512231881,0.9351429865186607
"frozenset({'FROM BUILDING', 'PM'})",frozenset({'THEFT'}),0.02642745152519499,0.24125667334828427,1.0,0.02642745152519499,0.5547704052253171,0.8221292648747253
"frozenset({'FROM BUILDING', 'THEFT'})",frozenset({'PM'}),0.03865282711810586,0.6291384682557009,0.6837132881495174,0.02642745152519499,0.3628595336282028,0.9176536577971565
frozenset({'FROM BUILDING'}),"frozenset({'PM', 'THEFT'})",0.03865282711810586,0.16199416516164883,0.6837132881495174,0.02642745152519499,0.42342579040426964,0.6345193624975749
"frozenset({'FROM BUILDING', 'Di'})",frozenset({'THEFT'}),0.005640343739456606,0.24125667334828427,1.0,0.005640343739456606,0.5116895082344812,0.959598971425353
"frozenset({'FROM BUILDING', 'Di'})",frozenset({'PM'}),0.005640343739456606,0.6291384682557009,0.697396199859254,0.003933554289796972,0.3518242434483208,0.9877506976261802
"frozenset({'FROM BUILDING', 'PM', 'Di'})",frozenset({'THEFT'}),0.003933554289796972,0.24125667334828427,1.0,0.003933554289796972,0.5081522186209506,0.9716750840261353
"frozenset({'FROM BUILDING', 'THEFT', 'Di'})",frozenset({'PM'}),0.005640343739456606,0.6291384682557009,0.697396199859254,0.003933554289796972,0.3518242434483208,0.9877506976261802
"frozenset({'FROM BUILDING', 'Di'})","frozenset({'PM', 'THEFT'})",0.005640343739456606,0.16199416516164883,0.697396199859254,0.003933554289796972,0.3608391368795437,0.9378182906829741
"frozenset({'FROM BUILDING', 'AM', 'Di'})",frozenset({'THEFT'}),0.0017067894496596344,0.24125667334828427,1.0,0.0017067894496596344,0.5035372896135305,0.9876240624267291
"frozenset({'FROM BUILDING', 'Do'})",frozenset({'THEFT'}),0.005684005795145573,0.24125667334828427,1.0,0.005684005795145573,0.5117799970385483,0.9592917184057105
"frozenset({'FROM BUILDING', 'Do'})",frozenset({'PM'}),0.005684005795145573,0.6291384682557009,0.7178770949720671,0.004080417568023498,0.3621814087748501,0.9876561920887295
"frozenset({'FROM BUILDING', 'Do', 'PM'})",frozenset({'THEFT'}),0.004080417568023498,0.24125667334828427,1.0,0.004080417568023498,0.5084565900528125,0.970630943484984
